package,dependency,version
chendrix/elm-tetris,maxsnew/IO,0.1.5 <= v < 2.0.0
chendrix/elm-rogue,maxsnew/IO,0.1.5 <= v < 2.0.0
bewatts/xelm,maxsnew/IO,0.1.5 <= v < 2.0.0
justalisteningman/xelm,maxsnew/IO,0.1.5 <= v < 2.0.0
mweiss/elm-study-app,maxsnew/IO,1.0.0 <= v < 2.0.0
jivagoalves/elm-csv-parser,maxsnew/IO,1.0.0 <= v < 2.0.0
psfblair/elm-css,maxsnew/IO,1.0.1 <= v < 2.0.0
psfblair/klee-css,maxsnew/IO,1.0.1 <= v < 2.0.0
deadfoxygrandpa/Elm-Test,maxsnew/IO,1.0.1 <= v < 2.0.0
trezona-lecomte/elm-test,maxsnew/IO,1.0.1 <= v < 2.0.0
jessitron/Elm-Test,maxsnew/IO,1.0.1 <= v < 2.0.0
laszlopandy/Elm-Test,maxsnew/IO,1.0.1 <= v < 2.0.0
aryszka/vacskamati,maxsnew/IO,1.0.1 <= v < 2.0.0
robertjlooby/elm-bowling-game-kata,maxsnew/IO,1.0.1 <= v < 2.0.0
JustusAdam/betablogger,sporto/erl,8.0.0 <= v < 9.0.0
marcosh/elm-joindin,sporto/erl,9.0.1 <= v < 10.0.0
oliverbarnes/participate,sporto/erl,10.0.1 <= v < 11.0.0
oliverbarnes/participate-new-client,sporto/erl,10.0.1 <= v < 11.0.0
cacay/elm-router,sporto/erl,11.0.0 <= v < 12.0.0
mike-engel/bkmrkd,sporto/erl,11.0.0 <= v < 12.0.0
kongus99/Aggregator,sporto/erl,13.0.0 <= v < 14.0.0
matthewbpt/record_collection_elm,sporto/hop,2.1.2 <= v < 3.0.0
weltenwort/scrum-tools,sporto/hop,3.0.0 <= v < 4.0.0
OpenAnsible/webapp,sporto/hop,5.1.0 <= v < 6.0.0
oliverbarnes/participate,sporto/hop,6.0.0 <= v < 7.0.0
oliverbarnes/participate-new-client,sporto/hop,6.0.0 <= v < 7.0.0
deadfoxygrandpa/portfolio,sporto/hop,6.0.0 <= v < 7.0.0
cloud8421/music-search-buddy,Skinney/fnv,1.0.3 <= v < 2.0.0
erkal/kite,Skinney/fnv,1.0.3 <= v < 2.0.0
xarvh/elm-styled-html,Skinney/fnv,1.0.3 <= v < 2.0.0
gurdiga/xo.elm,Skinney/fnv,1.0.4 <= v < 2.0.0
h2io/elm-modal,h2io/elm-ui,2.0.5 <= v < 3.0.0
h2io/elm-app-skeleton,h2io/elm-ui,2.0.5 <= v < 3.0.0
kfish/dreambuggy,here4/here4,3.9.0 <= v < 4.0.0
asonix/elm-text-editor,elm-lang/dom,1.0.0 <= v < 2.0.0
parametric-svg/parametric-svg.surge.sh,elm-lang/dom,1.0.0 <= v < 2.0.0
jinjor/office-maker,elm-lang/dom,1.0.0 <= v < 2.0.0
WorksApplications/office-maker,elm-lang/dom,1.0.0 <= v < 2.0.0
joshmh/selectize,elm-lang/dom,1.1.0 <= v < 2.0.0
SuperManEver/elm-hn,elm-lang/dom,1.1.0 <= v < 2.0.0
dotcs/brownbags,elm-lang/dom,1.1.0 <= v < 2.0.0
rune-b/xwing-cards,elm-lang/dom,1.1.0 <= v < 2.0.0
aotarola/whiz,elm-lang/dom,1.1.0 <= v < 2.0.0
chancyk/elm-search-menu,elm-lang/dom,1.1.1 <= v < 2.0.0
chyno/elmcoderunner,elm-lang/dom,1.1.1 <= v < 2.0.0
mez/elm-todo,elm-lang/dom,1.1.1 <= v < 2.0.0
thebritican/goat,elm-lang/dom,1.1.1 <= v < 2.0.0
rohanorton/elm-reorderable-list,elm-lang/dom,1.1.1 <= v < 2.0.0
discoCommando/intelligentMetronome,elm-lang/dom,1.1.1 <= v < 2.0.0
bitterjug/elm-wpc,elm-lang/dom,1.1.1 <= v < 2.0.0
erik/rain,elm-lang/dom,1.1.1 <= v < 2.0.0
1602/elm-json-schema,elm-lang/dom,1.1.1 <= v < 2.0.0
maxf/waterfall,elm-lang/dom,1.1.1 <= v < 2.0.0
erlandsona/caldwell,elm-lang/dom,1.1.1 <= v < 2.0.0
elm-browser/core,elm-lang/dom,1.1.1 <= v < 2.0.0
stormont/elm-animation-examples,elm-lang/dom,1.1.1 <= v < 2.0.0
zalando/elm-street-404,elm-lang/dom,1.1.1 <= v < 2.0.0
kongus99/Aggregator,elm-lang/dom,1.1.1 <= v < 2.0.0
jreut/elm-yinsh,elm-lang/dom,1.1.1 <= v < 2.0.0
grierson/elm-todo,elm-lang/dom,1.1.1 <= v < 2.0.0
gustf/elm-todo-plugin,elm-lang/dom,1.1.1 <= v < 2.0.0
paramanders/elm-twitch-chat,elm-lang/dom,1.1.1 <= v < 2.0.0
korczis/the-scratch,elm-lang/dom,1.1.1 <= v < 2.0.0
Guid75/picross-elm,elm-lang/dom,1.1.1 <= v < 2.0.0
Baransu/elm-editor,elm-lang/dom,1.1.1 <= v < 2.0.0
gargoris/stonebreaker,elm-lang/dom,1.1.1 <= v < 2.0.0
dillonkearns/mobster,elm-lang/dom,1.1.1 <= v < 2.0.0
erlandsona/A-Em,elm-lang/dom,1.1.1 <= v < 2.0.0
sebn/moka,elm-lang/dom,1.1.1 <= v < 2.0.0
billstclair/spokes,elm-lang/dom,1.1.1 <= v < 2.0.0
vjousse/the-transcriber,elm-lang/dom,1.1.1 <= v < 2.0.0
davejmac/elm-histogram,elm-lang/dom,1.1.1 <= v < 2.0.0
elm-lang/navigation,elm-lang/dom,1.1.1 <= v < 2.0.0
tilgram/tilgram-frontend,elm-lang/dom,1.1.1 <= v < 2.0.0
rtfeldman/elm-spa-example,elm-lang/dom,1.1.1 <= v < 2.0.0
rtfeldman/elm-todomvc,elm-lang/dom,1.1.1 <= v < 2.0.0
evancz/elm-todomvc,elm-lang/dom,1.1.1 <= v < 2.0.0
gdotdesign/elm-ui,elm-lang/dom,1.1.1 <= v < 2.0.0
fredcy/localstorage,elm-lang/dom,1.1.1 <= v < 2.0.0
stemarsh/site,elm-lang/dom,1.1.1 <= v < 2.0.0
cbenz/noteminer,elm-lang/dom,1.1.1 <= v < 2.0.0
jakubrauch/window,elm-lang/dom,1.1.1 <= v < 2.0.0
bgourlie/rs-nes-debugger-frontend,elm-lang/dom,1.1.1 <= v < 2.0.0
mamachanko/pomodoro,elm-lang/dom,1.1.1 <= v < 2.0.0
svard/java-timeclock,elm-lang/dom,1.1.1 <= v < 2.0.0
zummenix/verbs,elm-lang/dom,1.1.1 <= v < 2.0.0
iterate/itervent,elm-lang/dom,1.1.1 <= v < 2.0.0
vito/customs,elm-lang/dom,1.1.1 <= v < 2.0.0
dwyl/hapi-socketio-redis-chat-example,elm-lang/dom,1.1.1 <= v < 2.0.0
ronanyeah/home,elm-lang/dom,1.1.1 <= v < 2.0.0
szubtsovskiy/elm-infinite-scroll,elm-lang/dom,1.1.1 <= v < 2.0.0
lydell/elm-minesweeper,elm-lang/dom,1.1.1 <= v < 2.0.0
alphalambda/elm-plot,elm-lang/svg,1.0.0 <= v < 2.0.0
mpetrone/elm-whiteboard,elm-lang/svg,1.0.0 <= v < 2.0.0
ibnHatab/hilbert,elm-lang/svg,1.0.0 <= v < 2.0.0
reneederer/thousandDangers,elm-lang/svg,1.0.0 <= v < 2.0.0
fifth-postulate/brainbow,elm-lang/svg,1.0.0 <= v < 2.0.0
jvoigtlaender/elm-lang.org,elm-lang/svg,1.0.0 <= v < 2.0.0
nerdinand/elm-qr-code,elm-lang/svg,1.0.0 <= v < 2.0.0
jinjor/office-maker,elm-lang/svg,1.0.0 <= v < 2.0.0
athanclark/cooperate-frontend,elm-lang/svg,1.0.0 <= v < 2.0.0
Angeldude/elm-architecture-tutorial,elm-lang/svg,1.0.0 <= v < 2.0.0
rzetterberg/elm-architecture-tutorial,elm-lang/svg,1.0.0 <= v < 2.0.0
jackalcooper/elm-architecture-tutorial,elm-lang/svg,1.0.0 <= v < 2.0.0
mdgriffith/elm-html-animation-flower-menu,elm-lang/svg,1.0.0 <= v < 2.0.0
mdgriffith/elm-html-animation,elm-lang/svg,1.0.0 <= v < 2.0.0
OpenAnsible/webapp,elm-lang/svg,1.0.0 <= v < 2.0.0
easimonenko/elm-examples,elm-lang/svg,1.0.0 <= v < 2.0.0
seancorfield/solar-viewer,elm-lang/svg,1.0.0 <= v < 2.0.0
pdamoc/elm-mines,elm-lang/svg,1.0.0 <= v < 2.0.0
oc-elixir-elm/diamondback-railroad,elm-lang/svg,1.0.0 <= v < 2.0.0
oc-elixir-elm/oc-elixir-elm.github.io,elm-lang/svg,1.0.0 <= v < 2.0.0
kgantsov/timelapse-calc,elm-lang/svg,1.0.0 <= v < 2.0.0
antklim/elm-tutorial,elm-lang/svg,1.1.0 <= v < 2.0.0
kaiyote/elm-game-stub,elm-lang/svg,1.1.0 <= v < 2.0.0
parametric-svg/parametric-svg.surge.sh,elm-lang/svg,1.1.0 <= v < 2.0.0
KeisukeTagami/elm-chart,elm-lang/svg,1.1.0 <= v < 2.0.0
chrisbuttery/elm-convert-case,elm-lang/svg,1.1.1 <= v < 2.0.0
SuperManEver/elm-hn,elm-lang/svg,1.1.1 <= v < 2.0.0
Funtrax/heimers-garage,elm-lang/svg,1.1.1 <= v < 2.0.0
Ryan1729/otrio,elm-lang/svg,1.1.1 <= v < 2.0.0
andybalaam/sootl,elm-lang/svg,1.1.1 <= v < 2.0.0
Benjamin2488/mazegame,elm-lang/svg,1.1.1 <= v < 2.0.0
frusunnanbo/your-dream-appearance,elm-lang/svg,1.1.1 <= v < 2.0.0
aklaing/elm-visualize-compilation,elm-lang/svg,1.1.1 <= v < 2.0.0
cy6erskunk/elm-onboarding,elm-lang/svg,1.1.1 <= v < 2.0.0
Ryan1729/stragato,elm-lang/svg,1.1.1 <= v < 2.0.0
martincerny/ve-vlaku,elm-lang/svg,1.1.1 <= v < 2.0.0
nphollon/on-the-run,elm-lang/svg,1.1.1 <= v < 2.0.0
aakoch/elm-slab,elm-lang/svg,1.1.1 <= v < 2.0.0
guiding-hand/frontend,elm-lang/svg,1.1.1 <= v < 2.0.0
HumbleSpark/many-tweet,elm-lang/svg,1.1.1 <= v < 2.0.0
CarstenKoenig/ElmOthello,elm-lang/svg,1.1.1 <= v < 2.0.0
rob-brown/Tricks-of-the-Trade,elm-lang/svg,1.1.1 <= v < 2.0.0
zynque/olw-p4,elm-lang/svg,2.0.0 <= v < 2.1.0
pukkamustard/elm-identicon,elm-lang/svg,2.0.0 <= v < 3.0.0
appier/elm-spa-starter-kit,elm-lang/svg,2.0.0 <= v < 3.0.0
HackerExperience/HEBorn,elm-lang/svg,2.0.0 <= v < 3.0.0
granmoe/elm-brick-breaker,elm-lang/svg,2.0.0 <= v < 3.0.0
mpizenberg/elm-image-annotation,elm-lang/svg,2.0.0 <= v < 3.0.0
interpretation-experiment/gistr-app,elm-lang/svg,2.0.0 <= v < 3.0.0
chyno/elmcoderunner,elm-lang/svg,2.0.0 <= v < 3.0.0
andybalaam/foursies,elm-lang/svg,2.0.0 <= v < 3.0.0
mdgriffith/elm-style-animation,elm-lang/svg,2.0.0 <= v < 3.0.0
thebritican/goat,elm-lang/svg,2.0.0 <= v < 3.0.0
retep007/mypage,elm-lang/svg,2.0.0 <= v < 3.0.0
periodic/CSVana,elm-lang/svg,2.0.0 <= v < 3.0.0
hakantunc/worldliness,elm-lang/svg,2.0.0 <= v < 3.0.0
martindemello/crosspad.elm,elm-lang/svg,2.0.0 <= v < 3.0.0
RomainEndelin/elm-conway-game-of-life,elm-lang/svg,2.0.0 <= v < 3.0.0
hillerstorm/advent-of-code-2016,elm-lang/svg,2.0.0 <= v < 3.0.0
rookboom/elmflo,elm-lang/svg,2.0.0 <= v < 3.0.0
haklabbeograd/elm,elm-lang/svg,2.0.0 <= v < 3.0.0
Kwarrtz/render,elm-lang/svg,2.0.0 <= v < 3.0.0
CD1212/Doughnut,elm-lang/svg,2.0.0 <= v < 3.0.0
uribrecher/a-game-of-bloks,elm-lang/svg,2.0.0 <= v < 3.0.0
norefle/apsides,elm-lang/svg,2.0.0 <= v < 3.0.0
dsgtech/mindforge-elm,elm-lang/svg,2.0.0 <= v < 3.0.0
hmfoster/elm-tic-tac-toe,elm-lang/svg,2.0.0 <= v < 3.0.0
dairyisscary/flowstick,elm-lang/svg,2.0.0 <= v < 3.0.0
charypar/swarm-dashboard,elm-lang/svg,2.0.0 <= v < 3.0.0
albertoblaz/hackweek-elm,elm-lang/svg,2.0.0 <= v < 3.0.0
Vin985/clqweb,elm-lang/svg,2.0.0 <= v < 3.0.0
adz/elm-game-of-life,elm-lang/svg,2.0.0 <= v < 3.0.0
skystar-p/graduate-adventure,elm-lang/svg,2.0.0 <= v < 3.0.0
dnsdhrj/graduate-adventure,elm-lang/svg,2.0.0 <= v < 3.0.0
Jhuni0123/graduate-adventure,elm-lang/svg,2.0.0 <= v < 3.0.0
MKRoughDiamond/graduate-adventure,elm-lang/svg,2.0.0 <= v < 3.0.0
SoftwareSandbox/webviz-elm,elm-lang/svg,2.0.0 <= v < 3.0.0
xarvh/elm-haifisch,elm-lang/svg,2.0.0 <= v < 3.0.0
iGEL/signals,elm-lang/svg,2.0.0 <= v < 3.0.0
philsuess/pendlerapp,elm-lang/svg,2.0.0 <= v < 3.0.0
zalando/elm-street-404,elm-lang/svg,2.0.0 <= v < 3.0.0
nespera/elm-slide,elm-lang/svg,2.0.0 <= v < 3.0.0
pablohirafuji/elm-qrcode,elm-lang/svg,2.0.0 <= v < 3.0.0
agarcini/color-picker,elm-lang/svg,2.0.0 <= v < 3.0.0
kongus99/Aggregator,elm-lang/svg,2.0.0 <= v < 3.0.0
jreut/elm-yinsh,elm-lang/svg,2.0.0 <= v < 3.0.0
billstclair/kakuro-master,elm-lang/svg,2.0.0 <= v < 3.0.0
simonrply/breakout-elm,elm-lang/svg,2.0.0 <= v < 3.0.0
jaskap/elm-test,elm-lang/svg,2.0.0 <= v < 3.0.0
dominicprior/elm-demo,elm-lang/svg,2.0.0 <= v < 3.0.0
abadi199/datetimepicker,elm-lang/svg,2.0.0 <= v < 3.0.0
kirchner/elm-jump,elm-lang/svg,2.0.0 <= v < 3.0.0
open-chords-charts/chart-editor,elm-lang/svg,2.0.0 <= v < 3.0.0
ChrisWellsWood/the-jade-prison,elm-lang/svg,2.0.0 <= v < 3.0.0
dmiller113/purpleRain,elm-lang/svg,2.0.0 <= v < 3.0.0
mathphreak/yummy-goodness,elm-lang/svg,2.0.0 <= v < 3.0.0
paramanders/elm-twitch-chat,elm-lang/svg,2.0.0 <= v < 3.0.0
vipentti/elm-mdl-dashboard,elm-lang/svg,2.0.0 <= v < 3.0.0
benansell/elm-webpack-seed,elm-lang/svg,2.0.0 <= v < 3.0.0
Maast3r/ElmScrollShooter,elm-lang/svg,2.0.0 <= v < 3.0.0
APNIC-net/rdap-history-ui,elm-lang/svg,2.0.0 <= v < 3.0.0
hakonrossebo/functional-programming-babelfish,elm-lang/svg,2.0.0 <= v < 3.0.0
google/keystone,elm-lang/svg,2.0.0 <= v < 3.0.0
jjst/elmtimate-tictactoe,elm-lang/svg,2.0.0 <= v < 3.0.0
Guid75/picross-elm,elm-lang/svg,2.0.0 <= v < 3.0.0
h2io/elm-app-skeleton,elm-lang/svg,2.0.0 <= v < 3.0.0
booch/space-truckin,elm-lang/svg,2.0.0 <= v < 3.0.0
rehno-lindeque/elm-reactor,elm-lang/svg,2.0.0 <= v < 3.0.0
elm-lang/elm-reactor,elm-lang/svg,2.0.0 <= v < 3.0.0
mcade/rhythmic-breathing,elm-lang/svg,2.0.0 <= v < 3.0.0
G4BB3R/Elm-brawlhalla-legends-weapons-table,elm-lang/svg,2.0.0 <= v < 3.0.0
segeda/elmqtt,elm-lang/svg,2.0.0 <= v < 3.0.0
JordyMoos/elm-clockpicker,elm-lang/svg,2.0.0 <= v < 3.0.0
jamesgary/tangelo,elm-lang/svg,2.0.0 <= v < 3.0.0
dillonkearns/mobster,elm-lang/svg,2.0.0 <= v < 3.0.0
comsysto/harvest-overtime,elm-lang/svg,2.0.0 <= v < 3.0.0
nafarlee/elm-game-of-life,elm-lang/svg,2.0.0 <= v < 3.0.0
Sch3lp/moobase-cmdr,elm-lang/svg,2.0.0 <= v < 3.0.0
frusunnanbo/vackrare-frontend,elm-lang/svg,2.0.0 <= v < 3.0.0
opensolid/svg,elm-lang/svg,2.0.0 <= v < 3.0.0
ardentTech/sonical_client,elm-lang/svg,2.0.0 <= v < 3.0.0
elm-lang/elm-lang.org,elm-lang/svg,2.0.0 <= v < 3.0.0
Nukesor/spacesurvival,elm-lang/svg,2.0.0 <= v < 3.0.0
terezka/elm-plot-rouge,elm-lang/svg,2.0.0 <= v < 3.0.0
billstclair/spokes,elm-lang/svg,2.0.0 <= v < 3.0.0
leonardz/rainy-night,elm-lang/svg,2.0.0 <= v < 3.0.0
vjousse/the-transcriber,elm-lang/svg,2.0.0 <= v < 3.0.0
abadi199/elm-input-extra,elm-lang/svg,2.0.0 <= v < 3.0.0
KurtRMueller/click-it,elm-lang/svg,2.0.0 <= v < 3.0.0
roSievers/elm-sweeper,elm-lang/svg,2.0.0 <= v < 3.0.0
jinjor/elm-time-travel,elm-lang/svg,2.0.0 <= v < 3.0.0
cronokirby/FlashKi,elm-lang/svg,2.0.0 <= v < 3.0.0
kirchner/elm-pat,elm-lang/svg,2.0.0 <= v < 3.0.0
camjc/elm-chart,elm-lang/svg,2.0.0 <= v < 3.0.0
Voronchuk/hexagons,elm-lang/svg,2.0.0 <= v < 3.0.0
gdotdesign/elm-ui,elm-lang/svg,2.0.0 <= v < 3.0.0
InAbsentia/elm-metronome,elm-lang/svg,2.0.0 <= v < 3.0.0
ggazzi/category-diagram-editor,elm-lang/svg,2.0.0 <= v < 3.0.0
pancakeCaptain/snaeks,elm-lang/svg,2.0.0 <= v < 3.0.0
erkal/kite,elm-lang/svg,2.0.0 <= v < 3.0.0
daspinola/elm-countdown,elm-lang/svg,2.0.0 <= v < 3.0.0
gustavo-hms/resta-um,elm-lang/svg,2.0.0 <= v < 3.0.0
brenden/elm-tree-diagram,elm-lang/svg,2.0.0 <= v < 3.0.0
mpace965/svg-grid,elm-lang/svg,2.0.0 <= v < 3.0.0
bgourlie/rs-nes-debugger-frontend,elm-lang/svg,2.0.0 <= v < 3.0.0
canadaduane/elm-hccb,elm-lang/svg,2.0.0 <= v < 3.0.0
Haskell-Praxis/core-catcher,elm-lang/svg,2.0.0 <= v < 3.0.0
bendorshai/elm-snake,elm-lang/svg,2.0.0 <= v < 3.0.0
EdAyers/hypergraph-games,elm-lang/svg,2.0.0 <= v < 3.0.0
Reticentman/First-Elm-WebApp,elm-lang/svg,2.0.0 <= v < 3.0.0
rollacaster/elm-algorithms,elm-lang/svg,2.0.0 <= v < 3.0.0
simonh1000/elm-charts,elm-lang/svg,2.0.0 <= v < 3.0.0
tbrisbout/elm-kanji,elm-lang/svg,2.0.0 <= v < 3.0.0
BigTom/spcgame,elm-lang/svg,2.0.0 <= v < 3.0.0
jinjor/elm-html-parser,elm-lang/svg,2.0.0 <= v < 3.0.0
fredericcormier/Fretboard,elm-lang/svg,2.0.0 <= v < 3.0.0
WorksApplications/office-maker,elm-lang/svg,2.0.0 <= v < 3.0.0
deadfoxygrandpa/portfolio,elm-lang/svg,2.0.1 <= v < 3.0.0
ajhager/elm-graphics,elmcast/core,1.0.0 <= v < 2.0.0
circuithub/elm-array-focus,evancz/focus,1.0.1 <= v < 2.0.0
eeue56/ten-minute-dungeon,evancz/focus,1.0.1 <= v < 2.0.0
srikumarks/elm-anima,evancz/focus,2.0.0 <= v < 3.0.0
Fresheyeball/elm-yala,evancz/focus,2.0.0 <= v < 3.0.0
gunpinyo/phometa,evancz/focus,2.0.0 <= v < 3.0.0
ir4y/elm-cursor,evancz/focus,2.0.0 <= v < 3.0.0
tiziano88/elm-harmonograph,evancz/focus,2.0.0 <= v < 3.0.0
kwrooijen/procedur.es,evancz/focus,2.0.0 <= v < 3.0.0
cullophid/gmfy,evancz/focus,2.0.1 <= v < 3.0.0
meilab/meilab_blog,evancz/focus,2.0.2 <= v < 3.0.0
ir4y/elm-chess,ir4y/elm-dnd,3.0.0 <= v < 4.0.0
maseek/WnWs,maxsnew/lazy,1.1.0 <= v < 2.0.0
rluiten/lunrelm,rluiten/trie,2.0.0 <= v < 3.0.0
rluiten/elm-text-search,rluiten/trie,2.0.2 <= v < 3.0.0
interpretation-experiment/gistr-app,wehlutyk/dom,1.2.2 <= v < 2.0.0
thebritican/elm-chat,z5h/time-app,1.0.1 <= v < 2.0.0
psfblair/elm-css,avh4/elm-spec,1.0.0 <= v < 2.0.0
psfblair/klee-css,avh4/elm-spec,1.0.0 <= v < 2.0.0
jivagoalves/elm-csv-parser,avh4/elm-spec,1.0.0 <= v < 2.0.0
avh4/elm-html,elm-lang/core,1.0.0 <= v < 2.0.0
pchiusano/elm-execute,elm-lang/core,1.0.0 <= v < 2.0.0
jcollard/elm-playground,elm-lang/core,1.0.0 <= v < 2.0.0
evancz/local-channel,elm-lang/core,1.0.0 <= v < 2.0.0
sonnym/elm-benchmark,elm-lang/core,1.0.0 <= v < 2.0.0
tominated/elm-lights-out,elm-lang/core,1.0.0 <= v < 2.0.0
circuithub/elm-signal-extra,elm-lang/core,1.0.0 <= v < 2.0.0
yjchoe/elm-plot,elm-lang/core,1.0.0 <= v < 2.0.0
avh4/elm-lang.org,elm-lang/core,1.0.0 <= v < 2.0.0
yjchoe/elm-numeric,elm-lang/core,1.0.0 <= v < 2.0.0
DoctorTeeth/pricefly-demo,elm-lang/core,1.0.0 <= v < 2.0.0
DoctorTeeth/elm-dynamic-pricing-demo,elm-lang/core,1.0.0 <= v < 2.0.0
youpy/elm-midi,elm-lang/core,1.0.0 <= v < 2.0.0
ca-elm/libraries,elm-lang/core,1.0.0 <= v < 2.0.0
philopon/elm-docgen,elm-lang/core,1.0.0 <= v < 2.0.0
fredyr/elm-binclock,elm-lang/core,1.0.0 <= v < 2.0.0
circuithub/elm-http-extra,elm-lang/core,1.0.0 <= v < 2.0.0
jwmerrill/elm-compiler-stale-cache,elm-lang/core,1.0.0 <= v < 2.0.0
bwhmather/elm-webworker,elm-lang/core,1.0.0 <= v < 2.0.0
er1kb/elm-probabilities,elm-lang/core,1.0.0 <= v < 2.0.0
rehno-lindeque/elm-signal-alt,elm-lang/core,1.0.0 <= v < 2.0.0
sjaakieb/bootstrap-elm,elm-lang/core,1.0.0 <= v < 2.0.0
circuithub/elm-bootstrap-dropdown,elm-lang/core,1.0.0 <= v < 2.0.0
dat2/elm-tile-game,elm-lang/core,1.0.0 <= v < 2.0.0
circuithub/elm-filepickerio-api-types,elm-lang/core,1.0.0 <= v < 2.0.0
jcollard/elm-key-constants,elm-lang/core,1.0.0 <= v < 2.0.0
aergus/spot,elm-lang/core,1.0.0 <= v < 2.0.0
rgrempel/elm-animation-frame,elm-lang/core,1.0.0 <= v < 3.0.0
evancz/elm-svg,elm-lang/core,1.0.0 <= v < 4.0.0
stefanodacchille/elm-sample-app,elm-lang/core,1.1.0 <= v < 2.0.0
harryak/elm-gameOfLife,elm-lang/core,1.1.0 <= v < 2.0.0
Miklar/tetris,elm-lang/core,1.1.0 <= v < 2.0.0
stefanodacchille/itson,elm-lang/core,1.1.0 <= v < 2.0.0
evancz/geolocation,elm-lang/core,1.1.0 <= v < 2.0.0
freizl/elm-hello-localstorage,elm-lang/core,1.1.0 <= v < 2.0.0
bamboo/take-the-blue-pills,elm-lang/core,1.1.0 <= v < 2.0.0
Ked-Ki/lx.plot,elm-lang/core,1.1.0 <= v < 2.0.0
winitzki/elmsweeper,elm-lang/core,1.1.0 <= v < 2.0.0
dirkz/hue-lights-elm,elm-lang/core,1.1.0 <= v < 2.0.0
thSoft/elm-dynamic-style,elm-lang/core,1.1.0 <= v < 2.0.0
deadfoxygrandpa/2DEngine,elm-lang/core,1.1.0 <= v < 2.0.0
evancz/cufp-tutorial,elm-lang/core,1.1.0 <= v < 2.0.0
lolilo/Learning_Elm,elm-lang/core,1.1.0 <= v < 2.0.0
joozek78/space-stallion,elm-lang/core,1.1.0 <= v < 2.0.0
circuithub/elm-phonenumber-type,elm-lang/core,1.1.0 <= v < 2.0.0
dragonfi/elm-audio,elm-lang/core,1.1.0 <= v < 2.0.0
arianvp/elm-gallery,elm-lang/core,1.1.0 <= v < 2.0.0
arbn/smullyanesque-web,elm-lang/core,1.1.1 < v <= 2.0.0
bitemyapp/ld32,elm-lang/core,1.1.1 <= v < 2.0.0
soupi/ld32,elm-lang/core,1.1.1 <= v < 2.0.0
srid/Now-game,elm-lang/core,1.1.1 <= v < 2.0.0
saljam/almanac,elm-lang/core,1.1.1 <= v < 2.0.0
theburningmonk/elm-flame-particle,elm-lang/core,1.1.1 <= v < 2.0.0
aBathologist/cornered,elm-lang/core,1.1.1 <= v < 2.0.0
elbow-jason/elm-websocket-example,elm-lang/core,1.1.1 <= v < 2.0.0
rdno/elm-waveonastring,elm-lang/core,1.1.1 <= v < 2.0.0
jessicahayley/internet-argument-simulator,elm-lang/core,1.1.1 <= v < 2.0.0
WhiteVoidia/internet-argument-simulator,elm-lang/core,1.1.1 <= v < 2.0.0
ikr/animation-timing-dial,elm-lang/core,1.1.1 <= v < 2.0.0
LegitTalon/elm-draw,elm-lang/core,1.1.1 <= v < 2.0.0
zimbatm/elm-gamepad,elm-lang/core,2.0.0 < v <= 4.0.0
nphollon/sicm,elm-lang/core,2.0.0 <= v < 3.0.0
joaomilho/elm-dynamic-style,elm-lang/core,2.0.0 <= v < 3.0.0
tshm/ElmCRUDSample,elm-lang/core,2.0.0 <= v < 3.0.0
Apanatshka/elm-lang.org,elm-lang/core,2.0.0 <= v < 3.0.0
maxsnew/IO,elm-lang/core,2.0.0 <= v < 3.0.0
defndaines/elm7more,elm-lang/core,2.0.0 <= v < 3.0.0
llaisdy/elm7more,elm-lang/core,2.0.0 <= v < 3.0.0
GlenDC/elm-mouse-extra,elm-lang/core,2.0.0 <= v < 3.0.0
tennety/elm-koans,elm-lang/core,2.0.0 <= v < 3.0.0
btbytes/elm-koans,elm-lang/core,2.0.0 <= v < 3.0.0
rewinfrey/elm_koans,elm-lang/core,2.0.0 <= v < 3.0.0
hun10/js-0010-01,elm-lang/core,2.0.0 <= v < 3.0.0
benweitzman/TimeBot,elm-lang/core,2.0.0 <= v < 3.0.0
davydog187/elm-hangman,elm-lang/core,2.0.0 <= v < 3.0.0
eeue56/elm-lang.org,elm-lang/core,2.0.0 <= v < 3.0.0
liubko/elm-lang.org,elm-lang/core,2.0.0 <= v < 3.0.0
rtorr/elm-lang.org,elm-lang/core,2.0.0 <= v < 3.0.0
rtfeldman/elm-list-extra,elm-lang/core,2.0.0 <= v < 3.0.0
NoRedInk/elm-accordion-view,elm-lang/core,2.0.0 <= v < 3.0.0
rtfeldman/elm-html-extra,elm-lang/core,2.0.0 <= v < 3.0.0
notnew/access,elm-lang/core,2.0.0 <= v < 3.0.0
NigelThorne/elm-bootstrap-html,elm-lang/core,2.0.0 <= v < 3.0.0
circuithub/elm-list-signal,elm-lang/core,2.0.0 <= v < 3.0.0
hoosierEE/elm-radix,elm-lang/core,2.0.0 <= v < 3.0.0
nphollon/palmyra,elm-lang/core,2.0.0 <= v < 3.0.0
hoosierEE/distance,elm-lang/core,2.0.0 <= v < 3.0.0
rtfeldman/elm-result-extra,elm-lang/core,2.0.0 <= v < 3.0.0
kevinrood/elm-lang.org,elm-lang/core,2.0.0 <= v < 3.0.0
inchingforward/elm-lang.org,elm-lang/core,2.0.0 <= v < 3.0.0
meclav/elm-bootstrap-html,elm-lang/core,2.0.0 <= v < 3.0.0
microspino/elm-http,elm-lang/core,2.0.0 <= v < 3.0.0
strickinato/elm-http,elm-lang/core,2.0.0 <= v < 3.0.0
